comments,date,translated_comments,cleaned_comments
KEEP SAFE ALWAYS LALO SA BUONG FAMILY MO BALANG ARAW MAPAPATAWAD KADIN NG MGA PILIPINO.,11/19/2025,KEEP SAFE ALWAYS ESPECIALLY YOUR ENTIRE FAMILY ONE DAY THE FILIPINOS WILL FORGIVE TOO.,keep safe always especially entire family one day filipino forgive
"maraming pilipino ang magpapasalamat sa ginawa mo,isa na ako doon,panginoon nalang ang bahalang mag protekta sayo,magtiwala lang po kayo Sir.",11/19/2025,"many filipinos will thank you for what you did, I am one of them, let the Lord protect you, just have faith Sir.",many filipino thank one let lord protect faith sir
Airplaine to the Hague naman boss ni FPRRD.,11/19/2025,Airplaine to the Hague naman boss ni FPRRD.,airplaine hague naman bos ni fprrd
Kinakain ng mga Kakampinks ang sinuka nila,11/19/2025,Campers eat what they throw up,camper eat throw
Mag live kana cong kasi sabi n anre claire al daw po hahahahhaa,11/19/2025,It's going to be live because Anne Claire said it's okay hahahaha,going live anne claire said okay hahahaha
Salute you Po lahat ng pag kakamali dapat itatama sa pamagitan ng pag sasabi ng totoo.....,11/20/2025,"Salute you, all mistakes should be corrected by telling the truth.....",salute mistake corrected telling truth
"Naniniwala ako s sinasabi nito, at s tingin ko marami pang ebidensya n ilalabas itong si zaldy co",11/19/2025,"I believe what it says, and I think there is more evidence that zaldy co will release it",believe say think evidence zaldy co release
"God Save the Philippines,thank you po for the courage to tell all.",11/20/2025,"God Save the Philippines,thank you po for the courage to tell all.",god save philippinesthank po courage tell
"Zaldy co dapat magsurender kana para maipakulong mo Ang mga kasamahan mo..? Sa corruption na pinaggagawa nila? Na dapat nila haharapin sa Buhay nila? Kung tutuo ka,, zaldy co..at kung Wala Kang pinapanigan na administration? Dapat makulong ang mga Kasamahan mo? Sana mabasa ng ICC na sila na Ang huhuli sayo? Gera ang gusto nila ..dapat magnuclear nah yang mga corrupt Nayan? Mga sindikato ang mga yan? Dapat magnuclear war tlga yan pagbabanta nila sa mga nakakaalam sa sindikato at illegal nila c trillanes alam yan?",11/19/2025,"Zaldy, you should surrender so you can imprison your colleagues..? The corruption they are doing? That they should face in their lives? If you believe,, zaldy co..and if you have no biased administration? Should your colleagues go to jail? I hope the ICC reads that they will catch you? What they want is war ..should those corrupt people go nuclear? Are those syndicates? There should be a nuclear war, that's their threat to those who know about the syndicate and their illegality, does Trillanes know that?",zaldy surrender imprison colleague corruption face life believe zaldy coand biased administration colleague go jail hope icc read catch want war corrupt people go nuclear syndicate nuclear war thats threat know syndicate illegality trillanes know
"Mr. Zaldy Co . Alam mong hindi ka basta papaniwalaan, unang una na ng idinadawit mo at ganun din ng taong bayan,hindi ka din papaniwalaan na wala kang nakuhang pera dyan sa kurakot na yan.madami ka kamong ebidensya. Kailangan bago maging kapanipaniwala yan. Kung sabi mo tinawagan ka at talagang naiisip mo na ikaw na ang iipitin nirecord mo sana ang usapan ninyo sa telepono ni martin at kung sino man ang nakausap mo na dawit sa kurapsyon na yan. Para maging katotohanan yang sinabi mo lahat ay intact kahit mga lugar, oras at maaari maipaliwanag mo saan sang lugar kayo naguusap at may record ka ng mga ito. Dapat din sabihin mo lahat ng plano nyo paano pinag planuhan sirain si Vp Sara . Kailangan lahat ng kasama mo o kaalyado nyo na sirain ang mga duterte. Kailangan din intact ang pag ugnay sa iyo ng mga witnes kailangan malinaw at walang bahid ng planong pag baligtad sa iyong mga sinabi. Iyan ang pinaka maganda mong gagawain sa kabila ng inyong ginawang pangloloko sa taong bayan.pilitin mong mabawasan man lang ang kasiraan sa mga kapamilya mo sa pagsasabi mo ng katotohanan.",11/19/2025,"Mr. Zaldy Co. You know you can't just be believed, first of all what you're implicating and the same goes for the people, they also won't let you believe that you didn't get any money from that corrupt person. You have a lot of evidence. It is necessary before that becomes believable. If you said you were called and you really thought that you would be the one to be pressed, you should have recorded your conversation on Martin's phone and whoever you talked to was complicit in that corruption. To make it true what you said is all intact even places, time and maybe you can explain where you talked and you have a record of them. You should also tell all your plans how you planned to destroy Vp Sara. Everyone with you or your allies needs to destroy the Dutertes. The contact of the witnesses with you must also be intact, it must be clear and untainted by the plan to reverse your statements. That's the best thing you can do despite the fact that you cheated the people. Try to at least reduce the damage to your family members by telling the truth.",mr zaldy co know cant believed first youre implicating go people also wont let believe didnt get money corrupt person lot evidence necessary becomes believable said called really thought would one pressed recorded conversation martin phone whoever talked complicit corruption make true said intact even place time maybe explain talked record also tell plan planned destroy vp sara everyone ally need destroy dutertes contact witness must also intact must clear untainted plan reverse statement thats best thing despite fact cheated people try least reduce damage family member telling truth
Eto kanta para sa mga kurakot,11/19/2025,This is a song for the corrupt,song corrupt
Sana po mapalitan na Ang administration. Future Ang kabataan Ang nakataya. Toldokan na po Ang curaptio sa pilipinas..,11/19/2025,I hope the administration will be changed. Future The youth is at stake. The curaptio in the philippines is already closed..,hope administration changed future youth stake curaptio philippine already closed
Ang linaw ng pagka bigkas kaya nga AI daw,11/19/2025,The clarity of the pronunciation is why it is said to be AI,clarity pronunciation said ai
Umuwi kna kasi cong para mapatunayan ang mga aligasyon.. ng mgsusa na Ang tunay n salarin,11/19/2025,He came home to prove the allegations.. of the real culprit,came home prove allegation real culprit
Zaldy wag ka muna uuwi.. Ipapatay ka ng gobyerno..,11/21/2025,"Zaldy, don't go home.. The government will kill you..",zaldy dont go home government kill
Maglive po kayo sir. Lahat po sir na evidence elabas mo na...,11/19/2025,"Go live sir. Sir, bring out all the evidence...",go live sir sir bring evidence
Go go go!!!,11/19/2025,Go go go!!!,go go go
kawawang juan,11/19/2025,poor juan,poor juan
Parepareho lng kayong lahat mga magna ma BBM o Dutae pareho lng likaw ng bituka. Ang kakapal ng mga Mukha ninyong lahat dapat bitay sa inyong lahat,11/19/2025,All of you BBM or Dutae magnas just have the same bowel movements. The thickness of all of your faces should be hanged on all of you,bbm dutae magnas bowel movement thickness face hanged
"isa-isahin mo na po ang mga issues na nangyayari baka sa comelec eh may alam din kayo,para naman magbago ang pilipinas ""sabi nga kahit makasalanan ang tao ay may pagkakataon pa din para magsisi at magbago habang nabubuhay pa ito""",11/19/2025,"list the issues that are happening in the comelec, maybe you also know something, so that the philippines can change ""it is said that even if a person is a sinner, there is still a chance to repent and change while he is alive""",list issue happening comelec maybe also know something philippine change said even person sinner still chance repent change alive
"Marami ka pang dapat ibunyag ,yung impeachment Ky VP,yung video mo sa AFP I Kanta mo lahat kung talagang gusto mong patawarin ka ng tao...",11/19/2025,"You still have a lot to reveal, the impeachment Ky VP, your video on AFP I All your songs if you really want people to forgive you...",still lot reveal impeachment ky vp video afp song really want people forgive
"Sir dapat lahat lahat ng sangkot para damay damay na. Sa pelikula kulang to napanuod. Ngayon, sa realidad na talaga! Doble ingat na lang sir",11/19/2025,"Sir, everyone should be involved so that there is harmony. I didn't watch enough of the movie. Now, in reality! Doubly careful sir",sir everyone involved harmony didnt watch enough movie reality doubly careful sir
Bkit kse binibitin mo Yung pag upload Ng video dertsohin Muna para matapos na ang problema,11/19/2025,Why are you hanging up when uploading a video? Please direct it first so that the problem is over,hanging uploading video please direct first problem
sir pati AFP ikanta mona sir,11/19/2025,sir pati AFP ikanta mona sir,sir pati afp ikanta mona sir
Paliwanag neo Po bakit Ang Dami mo pong sasakyang himpapawid at bilyon bilyon Po Ang halaga Ng bawat isa,11/19/2025,Explain why you have so many airplanes and the cost of each one is billions billions,explain many airplane cost one billion billion
"Umuwi ka dto at magpaliwanag , hindi kung sino sino sinasabit mo na kaw ay walang kinakaman sa pagwaldas sa kaban ng bayan",11/19/2025,"Go home and explain, it's not who you say that you have nothing to gain from squandering the public treasury",go home explain say nothing gain squandering public treasury
Bat hindi ka umiiyak at kawawang pakinggan.,11/19/2025,Aren't you crying and poor to hear?,arent cry poor hear
Ano na Rep. Zaldy Co - 4 daysz na abah! labas mo na videos at txt messages at baka maunahan ka at nay arrest warrant kana,11/23/2025,What Rep. Zaldy Co - 4 daysz na abah! Get your videos and txt messages out and you might get caught and that's an arrest warrant,rep zaldy co 4 daysz na abah get video txt message might get caught thats arrest warrant
"dalangin po namin ang iyong kaligtasan sir,sabihin at itama lang ang lahat para magaan ang paghingnga sir,at tutulongan ka ng langit kapag nasa katutuhanan po kau",11/19/2025,"We pray for your safety sir, just say and correct everything so you can breathe easy sir, and heaven will help you when you are in the truth",pray safety sir say correct everything breathe easy sir heaven help truth
Go go lng sir.nawala yng Galit namn saiyo Kasi ipinaglabn mo Kong ano Ang Tama hndi k natakot sa kanila.ingat k lng Dyan baka madali ka.marami p kami nag aantay saiyo para ilabs u yng katutuhann taga Leyte Ako piro saiyo Ako may tiwala Kay sa mga walang silbi sa bayan.,11/19/2025,"Go go, sir. I lost my anger towards you because you fought for what was right, I was not afraid of them. Be careful there, you might be easy. There are many of us who are waiting for you to reveal the truth from Leyte.",go go sir lost anger towards fought right afraid careful might easy many u waiting reveal truth leyte
Relax lang po kayo basta nag Sabi kayo ng ttoo Para sa taong bayan sir yong taong tinuro mo dapat managot sila,11/20/2025,"Just relax as long as you tell the truth. For the people of the country, sir, the person you taught should be held accountable",relax long tell truth people country sir person taught held accountable
Ilan beses na binabangit ung Sec Mina. Bkt hindi un ang unang imbestigahan.,11/19/2025,Sec Mina is mentioned several times. Why is it not the first thing to investigate?,sec mina mentioned several time first thing investigate
The will prevail,11/19/2025,The will prevail,prevail
Rep. Zaldy Co ibunyag mo na lahat pati yung mga sasakyan na sinasabing sayo,11/19/2025,Rep. Zaldy Co. disclose everything including the cars that are said to be yours,rep zaldy co disclose everything including car said
"Ilabas nyo na idol, huwag ka umuwi ha, baka magiging internation airport pangalan mo",11/22/2025,"Take it out idol, don't go home, maybe your name will be at the international airport",take idol dont go home maybe name international airport
Hindi na kasi bumawi ka nmn ilahad mo na sana lahat ng nalalaman mo,11/19/2025,"Because you can't recover anymore, you should reveal everything you know",cant recover anymore reveal everything know
"God is with the truth, God is with you.",11/19/2025,"God is with the truth, God is with you.",god truth god
Labtad Muna lahat sir,11/19/2025,Labtad Muna Lahat sir,labtad muna lahat sir
Paki Kwento na din yung pag aresto kay Digong kasabay ng petsa ng pag labas ng malita noong araw na yun at kung bakit ang ginamit na sasakyan papunta sa Hague at nakalinya sayo na pangalan ang ginamit na sasakyan,11/19/2025,Please also tell the story of Digong's arrest at the same time as the date of Malita's release that day and why the car used was going to the Hague and the car used was lined up with your name,please also tell story digongs arrest time date malitas release day car used going hague car used lined name
"Ang request ko rin sana kay mr.Zaldy Co na kantahin niya ay yun,kung saan binabayad ni bbm ang share niya sa insertions ng budgets na pinagawa sayo.",11/19/2025,"I would also like to request Mr. Zaldy Co to sing that, where bbm pays his share in the insertions of the budgets made by you.",would also like request mr zaldy co sing bbm pay share insertion budget made
Salamat sa mga isiniwalat mo Tama at totoo lahat ang ibenentang ni VP at ngayon pinatotohanan mo na lahat..,11/19/2025,Thank you for what you revealed. Everything that VP sold was correct and true and now you have confirmed everything..,thank revealed everything vp sold correct true confirmed everything
Nasa tono tlga,11/19/2025,It's in tune,tune
So proud of you po the truth is set you free.,11/19/2025,So proud of you po the truth is set you free.,proud po truth set free
Ibulgar nyo na poh lahat2x para matapos na ang paghihirap ng ating bansa lalo na sa aming mga mahihirap,11/19/2025,"Please publicize everything so that the suffering of our country will end, especially for our poor",please publicize everything suffering country end especially poor
Take care po marami pa kayo ibubulgar,11/19/2025,"Take care, you have a lot more to reveal",take care lot reveal
Ilang taon nlng magbabago na ng president... salamat nmn...,11/19/2025,How many years will the president change... thank you...,many year president change thank
Cong ibunyag mo LAHAT,11/19/2025,Cong reveal EVERYTHING,cong reveal everything
Pakitag mo nga ang mga salarin at sana po maglive ka para di na kahol ng kahol ang askal ng administrasyon ngayon laging sinasabing AI ka daw,11/19/2025,Look at the culprits and I hope you live so that the administration's askal now always says that you are an AI.,look culprit hope live administration askal always say ai
"Make a kill switch which will send all your information about the corruption to media and known vlogers. So if anything happens to you, they won't be able to getaway with it.",11/19/2025,"Make a kill switch which will send all your information about the corruption to media and known vlogers. So if anything happens to you, they won't be able to getaway with it.",make kill switch send information corruption medium known vlogers anything happens wont able getaway
"E REVAIL LAHAT LAHAT SIR, PARA MALAMAN NG TAONGBAYAN AT SA BOONG MUNDO AT SA DATI MONG MGA KAKAMPI ANG MGA LOYALISTANG LUTANG AT OBOD NG KATANGAHAN KASAMA NA YUNG DILAWAN...",11/19/2025,"E REVAIL EVERYTHING SIR, SO THAT THE CITIZENS AND THE WHOLE WORLD AND YOUR FORMER ALLIES KNOW THE LOYALIST FLOATS AND OBOD OF STUPIDITY INCLUDING THE YELLOW...",e revail everything sir citizen whole world former ally know loyalist float obod stupidity including yellow
Kung maari po isiwalat nio Ng lhat at sino po ang mastermind SA pgppdala ky PRRD SA dahague,11/19/2025,If you can reveal everything and who is the mastermind of PRRD in Dahague,reveal everything mastermind prrd dahague
Saan na BA ANG part 3?,11/19/2025,Where is part 3?,part 3
Next episode please...,11/19/2025,Next episode please...,next episode please
labas na lahat ng ebidensya,11/19/2025,all the evidence is out,evidence
Tagal Naman NG finale Cong.,11/19/2025,The duration of the finale Cong.,duration finale cong
Itudo mo na brother. it's not too late to tell the truth!,11/19/2025,Itudo mo na brother. it's not too late to tell the truth!,itudo mo na brother late tell truth
LORD JESUS CHRIST THANK YOU FOR YOUR LOVE IN THE PHILIPPINES AND FILIPINO PEOPLE....,11/19/2025,LORD JESUS CHRIST THANK YOU FOR YOUR LOVE IN THE PHILIPPINES AND FILIPINO PEOPLE....,lord jesus christ thank love philippine filipino people
Sir we're waiting for another exposé.,11/21/2025,Sir we're waiting for another exposé.,sir waiting another exposé
"Lahat tayo dadaan lng sa mundong ito,pero yung pagkatao mo kahit wala kana sa mundo history na po yan.kawawa yung mga anak at apo sila yung sasalo,masmabuti na rin ginawa nyo yan sir.",11/19/2025,"We will all pass through this world, but your personality even if it is not in this world is history. Poor children and grandchildren, they will be the ones to share, it would have been better if you did that, sir.",pas world personality even world history poor child grandchild one share would better sir
Tama lang a g pag Amin mo huwag Kang pumayag na Ikaw lang Ang managot sa corruption kailangan Kasama Ang pinaka puno. Dahel nag dusa na Ang mga tao Ngayon sa subrang pag TaaS Nang bilihin. Dahel Aminin man oh Hindi grabi na Galit Nang sambayanan Filipino Sayo. Kailangan makulong at managot Ang salarin sa corruption.,11/19/2025,"It's only right if you agree, don't agree that you are the only one responsible for corruption, you need to be with the highest authority. Because people have suffered now because of the increase in prices. Dahel Admit it, Oh, the Filipino people are not very angry with you. The perpetrator of corruption must be jailed and held accountable.",right agree dont agree one responsible corruption need highest authority people suffered increase price dahel admit oh filipino people angry perpetrator corruption must jailed held accountable
PBBM will still be our President until 2028!,11/19/2025,PBBM will still be our President until 2028!,pbbm still president 2028
"Live Para walang lusot , lalong lalo na Si Ante Clier na basura",11/20/2025,"Live For no loophole, especially Ante Clier who is trash",live loophole especially ante clier trash
Pangalanan mo narin kung my pulis at sundalong sangkot bakit ganoon nalang ang supporta nila sa presidente kahit alam nilang mali,11/19/2025,Name me if my police and soldiers are involved why they support the president like that even though they know it's wrong,name police soldier involved support president like even though know wrong
"Mag live stream ka sir para hindi sabihin ni ante kler na AI ,",11/19/2025,"Stream live sir so that the ante kler doesn't say AI,",stream live sir ante kler doesnt say ai
God bless po cong. Todo muna Cong ng matapos na kasinungalingan at pagnanakaw ng administration ngito.,11/19/2025,God bless cong. First of all Cong is done with the lies and theft of this administration.,god bless cong first cong done lie theft administration
BAYANI ZALDY CO,11/19/2025,BAYANI ZALDY CO,bayani zaldy co
Good Job Zaldy Co….your da Man ….hehehe,11/19/2025,Good Job Zaldy Co….your da Man ….hehehe,good job zaldy coyour da man hehehe
Todas na...,11/19/2025,All in...,
Ingat ka po sir.. Please tumulong ka po isave ang Pilipinas magulo napo ang bansa natin.. maawa ka po sa ating kabataan.. at iyong mga kaanak po.. alam ko mapapatawad ka ng Pilipino basta tumulong ka po..,11/19/2025,Be careful sir.. Please help save the Philippines our country is in trouble.. have mercy on our youth.. and your relatives.. I know Filipinos will forgive you as long as you help..,careful sir please help save philippine country trouble mercy youth relative know filipino forgive long help
Ibulgar muna lahat para sa bayan hndi mo madadala sa kabilanh buhay ang yaman.. habang may oras kapa maka gawa pa manlang ng kabutihan sa kapwa mo at sa bayan ..sabihi mo lahat ng katutuhanan at mga ibidinsya para sa kapakanan ng lahat.. doon mo mababago ang pag tingin sayu ng mga pilipino . Gumawa ka ng mabuti para sa pamilya mo yang si bbm at romualdes.. may panahun din yan sila pag napalitan na sila sa pwesto ...wag ka padadala sa mga pananakot nila.. wala din mamg yayari kung mag sisinungaling kapa para sa kanila ikaw din ang gavawing pain nila ikaw don ang iapapa hamak nila gawin mo ang tama para sa bayan at sa pamilya mo,11/19/2025,"Make it public first for the people, you can't bring the wealth to the afterlife.. while you have time, you can at least do good things for your neighbors and the people.. tell all the truth and facts for the sake of everyone.. that's when you can change the way Filipinos look at you. Do something good for your family, bbm and romualdes.. they also have a time when they have been changed in position...don't be led by their threats.. nothing will happen if you lie for them, you are also their bait, you are the one they will despise, do the right thing for the people and your family",make public first people cant bring wealth afterlife time least good thing neighbor people tell truth fact sake everyone thats change way filipino look something good family bbm romualdes also time changed positiondont led threat nothing happen lie also bait one despise right thing people family
Ingatan ka nawa nang Panginoon at nang buonmo pamilya,11/19/2025,May the Lord take care of you and the buonmo family,may lord take care buonmo family
"Isiwalat mo na lahat,pati kung magkano naparte mo sa ninakaw nyo,para mas paniwalaan ka namin.",11/19/2025,"Reveal everything, including how much you got from what you stole, so we can believe you more.",reveal everything including much got stole believe
May kaluluwa pa kayo? Buti kaya nyo pa huminga,11/19/2025,Do you still have a soul? You can still breathe,still soul still breathe
Go sabihin mo na lahat kaibigan,11/19/2025,Go tell everyone friends,go tell everyone friend
ilabas nyo na po ang lahat ng resibo nyo…,11/19/2025,take out all your receipts...,take receipt
Sabi ni pinky lacson lumang kwento nalang daw sinasabi ni zaldy Co,11/19/2025,Pinky Lacson said that Zaldy Co. is telling old stories,pinky lacson said zaldy co telling old story
Sabihin mo rin na si BBM nagpakulong kay tatay Digong.,11/19/2025,Also say that BBM sent father Digong to jail.,also say bbm sent father digong jail
"Ok na sir, nauunawaan kita , ngayun ay inalis ko na ang galit ko sayu.. stay safe nalang po .. dahil malakas ang kalaban mo..",11/19/2025,"Ok sir, I understand you, now I have removed my anger towards you.. just stay safe.. because your opponent is strong..",ok sir understand removed anger towards stay safe opponent strong
Sana sabihin nyo na din magkano mga napunta sa congressmen sa pagpirma sa impeachment ni Sara,11/22/2025,I hope you tell me how much money went to the congressmen for signing Sara's impeachment,hope tell much money went congressman signing saras impeachment
"Pag namatay kayo hindi nyo madadala sa impyerno mga kayamanan. Sana pinili nalang ninyo na mamuhay ng simply, mapayapa. Hindi nlng sana kayo nagnakaw para tahimik buhay nyo.",11/19/2025,"When you die, you can't take treasures to hell. I hope you choose to live a simple, peaceful life. You should not have stolen so that your life would be quiet.",die cant take treasure hell hope choose live simple peaceful life stolen life would quiet
Hinati hati mo pa hayup ka nagka earnings ka pa samin animal,11/19/2025,"You still divide your animal, you still make earnings with us animal",still divide animal still make earnings u animal
marami ang nag hirap..at nawalan na tirahan dahil sa kagagawan mo rin,11/19/2025,many have suffered..and lost their homes because of your actions,many sufferedand lost home action
Kaw ang utak ng mga sindikato sa pagnanakaw ng pera namin. Wag kana mag malinis,11/19/2025,Kaw is the mastermind of the syndicates in stealing our money. Don't clean it,kaw mastermind syndicate stealing money dont clean
"Mag live vedio ka para Hindi nila Sabihin na AI lang Yan,ingat Po ,naway maging daan ka para sa katahimikan ng bansa",11/19/2025,"Make a live video so they don't say it's just AI, be careful, may you be the way for the peace of the country",make live video dont say ai careful may way peace country
Dapat mag ingay bago ka ipaligpit ka,11/25/2025,There should be a noise before you are moved,noise moved
God protect to reveal the truth,11/19/2025,God protect to reveal the truth,god protect reveal truth
I salute sayo sir zaldy co,11/19/2025,I salute you sir zaldy co,salute sir zaldy co
tinabi lng po nmin issue sa mag kaptid . balik ulit kami sayo tekaa cong wala ba kayo pcture na ksma ang mga diniliveran at ss convo nyo or screen recording . please labas nyo na para di happy ang pasko nila wag nyo na paabutin ng pasko ang serye nyong ito,11/19/2025,"I just put aside the issue with the siblings. We'll get back to you again. Don't you have a picture of what was delivered and your convo or screen recording? please get out so they don't have a happy Christmas, don't let this series of yours extend to Christmas",put aside issue sibling well get back dont picture delivered convo screen recording please get dont happy christmas dont let series extend christmas
Baka ang ICC na Ang huhuli sayo Dyan... Ayaw mong umuwi para harapin ang corruption na pinaggagawa ninyo sa amo mo? Para mabawasan man lang at magsisisi ka sa mga pinaggagawa ninyo sa taong bayan? Kaysa lumatakas ka habang Buhay mong haharapin Yan sa taong bayang corruption sa taong bayan na binabato sayo?..maging kwento ka nalang balang Araw sa corruption na pinagagawa mo sa taong bayan naging kawawa? May dios na mas nakakaalam sayo kung saan ka? May hindi magagawa ang Pera?,11/19/2025,Maybe the ICC will catch you there... You don't want to go home to face the corruption you are doing to your boss? So that you will at least reduce and regret what you are doing to the people? Why are you running away while you're alive? You're going to deal with the corruption of the people who throw stones at you?..just be a story one day about the corruption you made the people of the country become poor? Is there a god who knows better than you where you are? Is there anything Money can't do?,maybe icc catch dont want go home face corruption bos least reduce regret people running away youre alive youre going deal corruption people throw stone youjust story one day corruption made people country become poor god know better anything money cant
"Ur so much brave Sir, Ngayon nabawasan Ang Galit namin Sayo. Sana lahat lahat ibunyag mo, pati Ang pagpadala Kay PRRD sa the Hague. Gusto naming Malaman kung ano Ang naging partisipasyon mo Doon, at Yung private plane mo daw Ang sinakyan. How true Po?",11/20/2025,"Ur so much brave Sir, Now our Anger towards You has decreased. I hope you reveal everything, including sending PRRD to the Hague. We want to know what your participation was there, and the private plane you said you were on. How true po?",ur much brave sir anger towards decreased hope reveal everything including sending prrd hague want know participation private plane said true po
Naniwala naman kayo,11/19/2025,You believed,believed
Sa laki Ng pera nila Ngayon malamang naglaan na Yan Sila para Sayo. Kaya habang may hininga ka pa ibulgar mo na lahat Ng sangkot.,11/25/2025,"With the amount of money they have now, they probably have allocated that for you. So while you still have breath, disclose everything involved.",amount money probably allocated still breath disclose everything involved
Mag live ka sir para sureball,11/19/2025,Go live sir for sureball,go live sir sureball
Make a video on the payout in Tongress for the impeachment complaint against the Vice President!,11/19/2025,Make a video on the payout in Tongress for the impeachment complaint against the Vice President!,make video payout tongress impeachment complaint vice president
Ang 3 lang Saldy Co ito nalang,11/25/2025,This is the only 3 Saldy Co,3 saldy co
Ikanta mo narin kung sino nagpakidnap kay FPRRD para lubos lobosen mo na hindi natutulog ang dios,11/19/2025,Sing about who kidnapped FPRRD so you can fully praise that God never sleeps,sing kidnapped fprrd fully praise god never sleep
Hinhnty nmin kumanta ka about s pag kidnap KY prrd,11/19/2025,Hinhnty nmin you sing about the kidnapping of KY prrd,hinhnty nmin sing kidnapping ky prrd
Sir ...dalahin mo n s Phil.Embassy salaysay mo..bahala n mga Senator Jan..wag magtiwla s NBI DOJ OMBUDSMAN,11/19/2025,Sir...bring your story to the Phil.Embassy..it's up to the Senators Jan..don't trust the NBI DOJ OMBUDSMAN,sirbring story philembassyits senator jandont trust nbi doj ombudsman
Ibunyag mo lahat pra damay2 na....,11/19/2025,Reveal everything for sympathy....,reveal everything sympathy
SURE AKO KAW ANG MKKAPAGPAALIS NG MALACAÑANG KE BBM AT BIGLA NG LILIPAD C ROMUALDEZ PAIBANG BANSA KPAG INILABAS MO ANG MATINDING RESIBO MO SA KANILA TIYAK MERON YAN INGAT KA PO PALAGI,11/20/2025,I'M SURE YOU'RE THE MKKKAPAGAPAGAPAGAS OF MALACAÑANG KE BBM AND SUDDENLY WILL C ROMUALDEZ FLY TO A FOREIGN COUNTRY WHEN YOU SHOW THEM YOUR STRONG RECEIPT THAT'S SURE YOU HAVE THAT ALWAYS BE CAREFUL,im sure youre mkkkapagapagapagas malacañang ke bbm suddenly c romualdez fly foreign country show strong receipt thats sure always careful
Ingat ka po lagi sana makulong na ang sangkot,11/19/2025,I hope you're always imprisoned,hope youre always imprisoned
Stay safe sir zaldy may the guide and protect you all the time,11/19/2025,Stay safe sir zaldy may the guide and protect you all the time,stay safe sir zaldy may guide protect time
Sana sbhn mo ng lhat pati kng me kinalaman cla sa 2025 elections sa nangyari dayaan,11/19/2025,"I hope you explain everything, including me, related to the 2025 elections in what happened there",hope explain everything including related 2025 election happened
Ilabas niyo na lahat pabitin ka Naman lagi ko na binibisita acc. Mo to check kung Merong Bago,11/19/2025,Take it all out and hang yourself. I always visit acc. Check if there is anything new,take hang always visit acc check anything new
Kumanta kana rin lang. Ikanta mo na din yung Tungkol sa the Hague.,11/19/2025,Just sing that too. Sing about the Hague too.,sing sing hague
Ingat ka Po Cong.,11/19/2025,Be careful Po Cong.,careful po cong
Part 4 cong,11/19/2025,Part 4 cong,part 4 cong
Balik n hingi k proteksyon aa The Hague at interpol pra maibalik k dito,11/19/2025,Go back and ask for protection in The Hague and interpol to bring me back here,go back ask protection hague interpol bring back
"Sir good job, lara malinis na ang pangalan mo, ikanta morin ang tungkol suhulan sa impeachment, at ang pagpapadala kay dating president duterte sa the hauge",11/19/2025,"Sir good job, lara your name is clean, now sing about bribery in impeachment, and sending former president Duterte to the hauge",sir good job lara name clean sing bribery impeachment sending former president duterte hauge
"Place your statement in a notarized Affidavit kung hindi mangatog ang tuhod ng lahat ng sangkot, and tell your trusted legal counsel or representative to publish it if anything happens to you.",11/19/2025,"Place your statement in a notarized Affidavit if the knees of all involved don't shake, and tell your trusted legal counsel or representative to publish it if anything happens to you.",place statement notarized affidavit knee involved dont shake tell trusted legal counsel representative publish anything happens
Ikanta mo na din yung mga na bigyan nyo sa militar ng malaking halaga....,11/19/2025,Sing the songs that you gave the military a large amount....,sing song gave military large amount
Ulit uli..,11/19/2025,Again and again..,
Percy Lapid ang unang nagbunyag...,11/19/2025,Percy Lapid was the first to reveal...,percy lapid first reveal
I'm proud of you,11/19/2025,I'm proud of you,im proud
"Cong, baka pede mo din bigyan linaw ang matagal na namin tanong. Ano nag gnwa nyo sa tatay namin PRRD?",11/19/2025,"Cong, maybe you can clarify our long-standing question. What did you do to our father PRRD?",cong maybe clarify longstanding question father prrd
God bless po,11/19/2025,God bless po,god bless po
Ang dami nyong pakulo na mga nanjan sa taas juiceko,11/19/2025,"You have so many tricks up there, juiceko",many trick juiceko
God bless you sir zaldy co.. gagaan Ang loob Ng taong bayan para sayo....,11/19/2025,God bless you sir zaldy co.. the heart of the people will lighten for you....,god bless sir zaldy co heart people lighten
umuwi ka sir. at mag under oath ka,11/19/2025,go home sir and take an oath,go home sir take oath
"Sana nirecord mo Yung lahat ng tawag Sayo ng mga kasamahan mo, dagdag ebidensya Yun. Sana lng dika IPA galaw dyan sa ibang bansa para lng maging safe Ang mga Akala mo ay kaalyado mo. Keep safe para sa bayan. Face the consequences. Kaawaan ka sana ng panginoon",11/19/2025,"I hope you recorded all your colleagues' calls to you, that's more evidence. I hope you don't move there in another country just to be safe. Those you thought were your allies. Keep safe for the people. Face the consequences. May the lord have mercy on you",hope recorded colleague call thats evidence hope dont move another country safe thought ally keep safe people face consequence may lord mercy
I'm so proud of you,11/19/2025,I'm so proud of you,im proud
1 Timoteo 6:10… See more,11/19/2025,1 Timoteo 6:10… See more,1 timoteo 610 see
"Tama po yan,at isiwalat mo lahat..",11/19/2025,"That's right, and reveal everything..",thats right reveal everything
Gawa ka ng panibagong vdeo peke daw kasi Rep. Zaldy Co,11/19/2025,Make another fake video because Rep. Zaldy Co,make another fake video rep zaldy co
