comments,date
"Naniniwala ako s sinasabi nito, at s tingin ko marami pang ebidensya n ilalabas itong si zaldy co",11/19/2025
"God Save the Philippines,thank you po for the courage to tell all.",11/20/2025
"Zaldy co dapat magsurender kana para maipakulong mo Ang mga kasamahan mo..? Sa corruption na pinaggagawa nila? Na dapat nila haharapin sa Buhay nila? Kung tutuo ka,, zaldy co..at kung Wala Kang pinapanigan na administration? Dapat makulong ang mga Kasamahan mo? Sana mabasa ng ICC na sila na Ang huhuli sayo? Gera ang gusto nila ..dapat magnuclear nah yang mga corrupt Nayan? Mga sindikato ang mga yan? Dapat magnuclear war tlga yan pagbabanta nila sa mga nakakaalam sa sindikato at illegal nila c trillanes alam yan?",11/19/2025
"Mr. Zaldy Co . Alam mong hindi ka basta papaniwalaan, unang una na ng idinadawit mo at ganun din ng taong bayan,hindi ka din papaniwalaan na wala kang nakuhang pera dyan sa kurakot na yan.madami ka kamong ebidensya. Kailangan bago maging kapanipaniwala yan. Kung sabi mo tinawagan ka at talagang naiisip mo na ikaw na ang iipitin nirecord mo sana ang usapan ninyo sa telepono ni martin at kung sino man ang nakausap mo na dawit sa kurapsyon na yan. Para maging katotohanan yang sinabi mo lahat ay intact kahit mga lugar, oras at maaari maipaliwanag mo saan sang lugar kayo naguusap at may record ka ng mga ito. Dapat din sabihin mo lahat ng plano nyo paano pinag planuhan sirain si Vp Sara . Kailangan lahat ng kasama mo o kaalyado nyo na sirain ang mga duterte. Kailangan din intact ang pag ugnay sa iyo ng mga witnes kailangan malinaw at walang bahid ng planong pag baligtad sa iyong mga sinabi. Iyan ang pinaka maganda mong gagawain sa kabila ng inyong ginawang pangloloko sa taong bayan.pilitin mong mabawasan man lang ang kasiraan sa mga kapamilya mo sa pagsasabi mo ng katotohanan.",11/19/2025
Eto kanta para sa mga kurakot,11/19/2025
Sana po mapalitan na Ang administration. Future Ang kabataan Ang nakataya. Toldokan na po Ang curaptio sa pilipinas..,11/19/2025
Ang linaw ng pagka bigkas kaya nga AI daw,11/19/2025
Umuwi kna kasi cong para mapatunayan ang mga aligasyon.. ng mgsusa na Ang tunay n salarin,11/19/2025
Zaldy wag ka muna uuwi.. Ipapatay ka ng gobyerno..,11/21/2025
Maglive po kayo sir. Lahat po sir na evidence elabas mo na...,11/19/2025
Go go go!!!,11/19/2025
kawawang juan,11/19/2025
Parepareho lng kayong lahat mga magna ma BBM o Dutae pareho lng likaw ng bituka. Ang kakapal ng mga Mukha ninyong lahat dapat bitay sa inyong lahat,11/19/2025
"isa-isahin mo na po ang mga issues na nangyayari baka sa comelec eh may alam din kayo,para naman magbago ang pilipinas ""sabi nga kahit makasalanan ang tao ay may pagkakataon pa din para magsisi at magbago habang nabubuhay pa ito""",11/19/2025
"Marami ka pang dapat ibunyag ,yung impeachment Ky VP,yung video mo sa AFP I Kanta mo lahat kung talagang gusto mong patawarin ka ng tao...",11/19/2025
"Sir dapat lahat lahat ng sangkot para damay damay na. Sa pelikula kulang to napanuod. Ngayon, sa realidad na talaga! Doble ingat na lang sir",11/19/2025
Bkit kse binibitin mo Yung pag upload Ng video dertsohin Muna para matapos na ang problema,11/19/2025
sir pati AFP ikanta mona sir,11/19/2025
Paliwanag neo Po bakit Ang Dami mo pong sasakyang himpapawid at bilyon bilyon Po Ang halaga Ng bawat isa,11/19/2025
"Umuwi ka dto at magpaliwanag , hindi kung sino sino sinasabit mo na kaw ay walang kinakaman sa pagwaldas sa kaban ng bayan",11/19/2025
Bat hindi ka umiiyak at kawawang pakinggan.,11/19/2025
Ano na Rep. Zaldy Co - 4 daysz na abah! labas mo na videos at txt messages at baka maunahan ka at nay arrest warrant kana,11/23/2025
"dalangin po namin ang iyong kaligtasan sir,sabihin at itama lang ang lahat para magaan ang paghingnga sir,at tutulongan ka ng langit kapag nasa katutuhanan po kau",11/19/2025
Go go lng sir.nawala yng Galit namn saiyo Kasi ipinaglabn mo Kong ano Ang Tama hndi k natakot sa kanila.ingat k lng Dyan baka madali ka.marami p kami nag aantay saiyo para ilabs u yng katutuhann taga Leyte Ako piro saiyo Ako may tiwala Kay sa mga walang silbi sa bayan.,11/19/2025
Relax lang po kayo basta nag Sabi kayo ng ttoo Para sa taong bayan sir yong taong tinuro mo dapat managot sila,11/20/2025
Ilan beses na binabangit ung Sec Mina. Bkt hindi un ang unang imbestigahan.,11/19/2025
The will prevail,11/19/2025
Rep. Zaldy Co ibunyag mo na lahat pati yung mga sasakyan na sinasabing sayo,11/19/2025
"Ilabas nyo na idol, huwag ka umuwi ha, baka magiging internation airport pangalan mo",11/22/2025
Hindi na kasi bumawi ka nmn ilahad mo na sana lahat ng nalalaman mo,11/19/2025
"God is with the truth, God is with you.",11/19/2025
Labtad Muna lahat sir,11/19/2025
Paki Kwento na din yung pag aresto kay Digong kasabay ng petsa ng pag labas ng malita noong araw na yun at kung bakit ang ginamit na sasakyan papunta sa Hague at nakalinya sayo na pangalan ang ginamit na sasakyan,11/19/2025
"Ang request ko rin sana kay mr.Zaldy Co na kantahin niya ay yun,kung saan binabayad ni bbm ang share niya sa insertions ng budgets na pinagawa sayo.",11/19/2025
Salamat sa mga isiniwalat mo Tama at totoo lahat ang ibenentang ni VP at ngayon pinatotohanan mo na lahat..,11/19/2025
Nasa tono tlga,11/19/2025
So proud of you po the truth is set you free.,11/19/2025
Ibulgar nyo na poh lahat2x para matapos na ang paghihirap ng ating bansa lalo na sa aming mga mahihirap,11/19/2025
Take care po marami pa kayo ibubulgar,11/19/2025
Ilang taon nlng magbabago na ng president... salamat nmn...,11/19/2025
Cong ibunyag mo LAHAT,11/19/2025
Pakitag mo nga ang mga salarin at sana po maglive ka para di na kahol ng kahol ang askal ng administrasyon ngayon laging sinasabing AI ka daw,11/19/2025
"Make a kill switch which will send all your information about the corruption to media and known vlogers. So if anything happens to you, they won't be able to getaway with it.",11/19/2025
"E REVAIL LAHAT LAHAT SIR, PARA MALAMAN NG TAONGBAYAN AT SA BOONG MUNDO AT SA DATI MONG MGA KAKAMPI ANG MGA LOYALISTANG LUTANG AT OBOD NG KATANGAHAN KASAMA NA YUNG DILAWAN...",11/19/2025
Kung maari po isiwalat nio Ng lhat at sino po ang mastermind SA pgppdala ky PRRD SA dahague,11/19/2025
Saan na BA ANG part 3?,11/19/2025
Next episode please...,11/19/2025
labas na lahat ng ebidensya,11/19/2025
Tagal Naman NG finale Cong.,11/19/2025
Itudo mo na brother. it's not too late to tell the truth!,11/19/2025
LORD JESUS CHRIST THANK YOU FOR YOUR LOVE IN THE PHILIPPINES AND FILIPINO PEOPLE....,11/19/2025
Sir we're waiting for another exposé.,11/21/2025
"Lahat tayo dadaan lng sa mundong ito,pero yung pagkatao mo kahit wala kana sa mundo history na po yan.kawawa yung mga anak at apo sila yung sasalo,masmabuti na rin ginawa nyo yan sir.",11/19/2025
Tama lang a g pag Amin mo huwag Kang pumayag na Ikaw lang Ang managot sa corruption kailangan Kasama Ang pinaka puno. Dahel nag dusa na Ang mga tao Ngayon sa subrang pag TaaS Nang bilihin. Dahel Aminin man oh Hindi grabi na Galit Nang sambayanan Filipino Sayo. Kailangan makulong at managot Ang salarin sa corruption.,11/19/2025
PBBM will still be our President until 2028!,11/19/2025
"Live Para walang lusot , lalong lalo na Si Ante Clier na basura",11/20/2025
Pangalanan mo narin kung my pulis at sundalong sangkot bakit ganoon nalang ang supporta nila sa presidente kahit alam nilang mali,11/19/2025
"Mag live stream ka sir para hindi sabihin ni ante kler na AI ,",11/19/2025
God bless po cong. Todo muna Cong ng matapos na kasinungalingan at pagnanakaw ng administration ngito.,11/19/2025
BAYANI ZALDY CO,11/19/2025
Good Job Zaldy Co….your da Man ….hehehe,11/19/2025
Todas na...,11/19/2025
Ingat ka po sir.. Please tumulong ka po isave ang Pilipinas magulo napo ang bansa natin.. maawa ka po sa ating kabataan.. at iyong mga kaanak po.. alam ko mapapatawad ka ng Pilipino basta tumulong ka po..,11/19/2025
Ibulgar muna lahat para sa bayan hndi mo madadala sa kabilanh buhay ang yaman.. habang may oras kapa maka gawa pa manlang ng kabutihan sa kapwa mo at sa bayan ..sabihi mo lahat ng katutuhanan at mga ibidinsya para sa kapakanan ng lahat.. doon mo mababago ang pag tingin sayu ng mga pilipino . Gumawa ka ng mabuti para sa pamilya mo yang si bbm at romualdes.. may panahun din yan sila pag napalitan na sila sa pwesto ...wag ka padadala sa mga pananakot nila.. wala din mamg yayari kung mag sisinungaling kapa para sa kanila ikaw din ang gavawing pain nila ikaw don ang iapapa hamak nila gawin mo ang tama para sa bayan at sa pamilya mo,11/19/2025
Ingatan ka nawa nang Panginoon at nang buonmo pamilya,11/19/2025
"Isiwalat mo na lahat,pati kung magkano naparte mo sa ninakaw nyo,para mas paniwalaan ka namin.",11/19/2025
May kaluluwa pa kayo? Buti kaya nyo pa huminga,11/19/2025
Go sabihin mo na lahat kaibigan,11/19/2025
ilabas nyo na po ang lahat ng resibo nyo…,11/19/2025
Sabi ni pinky lacson lumang kwento nalang daw sinasabi ni zaldy Co,11/19/2025
Sabihin mo rin na si BBM nagpakulong kay tatay Digong.,11/19/2025
"Ok na sir, nauunawaan kita , ngayun ay inalis ko na ang galit ko sayu.. stay safe nalang po .. dahil malakas ang kalaban mo..",11/19/2025
Sana sabihin nyo na din magkano mga napunta sa congressmen sa pagpirma sa impeachment ni Sara,11/22/2025
"Pag namatay kayo hindi nyo madadala sa impyerno mga kayamanan. Sana pinili nalang ninyo na mamuhay ng simply, mapayapa. Hindi nlng sana kayo nagnakaw para tahimik buhay nyo.",11/19/2025
Hinati hati mo pa hayup ka nagka earnings ka pa samin animal,11/19/2025
marami ang nag hirap..at nawalan na tirahan dahil sa kagagawan mo rin,11/19/2025
Kaw ang utak ng mga sindikato sa pagnanakaw ng pera namin. Wag kana mag malinis,11/19/2025
"Mag live vedio ka para Hindi nila Sabihin na AI lang Yan,ingat Po ,naway maging daan ka para sa katahimikan ng bansa",11/19/2025
Dapat mag ingay bago ka ipaligpit ka,11/25/2025
God protect to reveal the truth,11/19/2025
I salute sayo sir zaldy co,11/19/2025
tinabi lng po nmin issue sa mag kaptid . balik ulit kami sayo tekaa cong wala ba kayo pcture na ksma ang mga diniliveran at ss convo nyo or screen recording . please labas nyo na para di happy ang pasko nila wag nyo na paabutin ng pasko ang serye nyong ito,11/19/2025
Baka ang ICC na Ang huhuli sayo Dyan... Ayaw mong umuwi para harapin ang corruption na pinaggagawa ninyo sa amo mo? Para mabawasan man lang at magsisisi ka sa mga pinaggagawa ninyo sa taong bayan? Kaysa lumatakas ka habang Buhay mong haharapin Yan sa taong bayang corruption sa taong bayan na binabato sayo?..maging kwento ka nalang balang Araw sa corruption na pinagagawa mo sa taong bayan naging kawawa? May dios na mas nakakaalam sayo kung saan ka? May hindi magagawa ang Pera?,11/19/2025
"Ur so much brave Sir, Ngayon nabawasan Ang Galit namin Sayo. Sana lahat lahat ibunyag mo, pati Ang pagpadala Kay PRRD sa the Hague. Gusto naming Malaman kung ano Ang naging partisipasyon mo Doon, at Yung private plane mo daw Ang sinakyan. How true Po?",11/20/2025
Naniwala naman kayo,11/19/2025
Sa laki Ng pera nila Ngayon malamang naglaan na Yan Sila para Sayo. Kaya habang may hininga ka pa ibulgar mo na lahat Ng sangkot.,11/25/2025
Mag live ka sir para sureball,11/19/2025
Make a video on the payout in Tongress for the impeachment complaint against the Vice President!,11/19/2025
Ang 3 lang Saldy Co ito nalang,11/25/2025
Ikanta mo narin kung sino nagpakidnap kay FPRRD para lubos lobosen mo na hindi natutulog ang dios,11/19/2025
Hinhnty nmin kumanta ka about s pag kidnap KY prrd,11/19/2025
Sir ...dalahin mo n s Phil.Embassy salaysay mo..bahala n mga Senator Jan..wag magtiwla s NBI DOJ OMBUDSMAN,11/19/2025
Ibunyag mo lahat pra damay2 na....,11/19/2025
SURE AKO KAW ANG MKKAPAGPAALIS NG MALACAÑANG KE BBM AT BIGLA NG LILIPAD C ROMUALDEZ PAIBANG BANSA KPAG INILABAS MO ANG MATINDING RESIBO MO SA KANILA TIYAK MERON YAN INGAT KA PO PALAGI,11/20/2025
Ingat ka po lagi sana makulong na ang sangkot,11/19/2025
Stay safe sir zaldy may the guide and protect you all the time,11/19/2025
Sana sbhn mo ng lhat pati kng me kinalaman cla sa 2025 elections sa nangyari dayaan,11/19/2025
Ilabas niyo na lahat pabitin ka Naman lagi ko na binibisita acc. Mo to check kung Merong Bago,11/19/2025
Kumanta kana rin lang. Ikanta mo na din yung Tungkol sa the Hague.,11/19/2025
Ingat ka Po Cong.,11/19/2025
Part 4 cong,11/19/2025
Balik n hingi k proteksyon aa The Hague at interpol pra maibalik k dito,11/19/2025
"Sir good job, lara malinis na ang pangalan mo, ikanta morin ang tungkol suhulan sa impeachment, at ang pagpapadala kay dating president duterte sa the hauge",11/19/2025
"Place your statement in a notarized Affidavit kung hindi mangatog ang tuhod ng lahat ng sangkot, and tell your trusted legal counsel or representative to publish it if anything happens to you.",11/19/2025
Ikanta mo na din yung mga na bigyan nyo sa militar ng malaking halaga....,11/19/2025
Ulit uli..,11/19/2025
Percy Lapid ang unang nagbunyag...,11/19/2025
I'm proud of you,11/19/2025
"Cong, baka pede mo din bigyan linaw ang matagal na namin tanong. Ano nag gnwa nyo sa tatay namin PRRD?",11/19/2025
God bless po,11/19/2025
Ang dami nyong pakulo na mga nanjan sa taas juiceko,11/19/2025
God bless you sir zaldy co.. gagaan Ang loob Ng taong bayan para sayo....,11/19/2025
umuwi ka sir. at mag under oath ka,11/19/2025
"Sana nirecord mo Yung lahat ng tawag Sayo ng mga kasamahan mo, dagdag ebidensya Yun. Sana lng dika IPA galaw dyan sa ibang bansa para lng maging safe Ang mga Akala mo ay kaalyado mo. Keep safe para sa bayan. Face the consequences. Kaawaan ka sana ng panginoon",11/19/2025
I'm so proud of you,11/19/2025
1 Timoteo 6:10… See more,11/19/2025
"Tama po yan,at isiwalat mo lahat..",11/19/2025
Gawa ka ng panibagong vdeo peke daw kasi Rep. Zaldy Co,11/19/2025
“Mga mapagkunwari! Para kayong libingang pinaputi… maganda sa labas ngunit puno ng karumihan sa loob.”,11/25/2025
This video is genuine,11/19/2025
Hoy umuwi ka dito,11/19/2025
sec.mina..its your time to shine..,11/19/2025
1 Timoteo 6:10,11/19/2025
Baka mabangungut ka niyan hindi ka makatulog ng maayos..pero kung magsasabi ka ng katotohanan gagaan pakiramdam mo..baka sa ngayon takot ka ng matulog !,11/19/2025
hwag ka munang umuwi ng Pilipinas kung si BBM pa ang nakaupo.. magtago ka muna dyan.. umuwi ka nalang kapag iba na ang Presidente... powerful pa sila dahil sila pa ang nakaupo..baka ano pang magyari sayo... tiyak papatayin ka ng mga yan sa pag sisiwalat mo sa kanila.. keep safe ka po muna kung nasaan ka man ngayon.. atleast nabawasan ang poot namin sayo... pero kasali ka rin sa malilitis kahit wala na si bbm sa kapangyarihan.pero atleast poprotektahan ka ng susunod na pangulo.. basta ngayon havang si bbm pa ang nakaupo magtago ka nalang muna..,11/21/2025
Mura mag Sara ug line,11/23/2025
GOD BLESS CONG ZALDY CO INGAT PO LAGI,11/19/2025
MY SUPER HERO ZALDY CO,11/19/2025
Salamat Sir,11/19/2025
Boss we miss you more post please,11/20/2025
Ibunyag mo na din sino mastermind sa pagpapadala kay PRRD sa ICC para mas tuluyang magsiklab ang Galit ng TAUMBAYAN,11/19/2025
"Rep. Zaldy Co, utos ba din ni bong-bong marcos na dalhin si FPRRD sa the Hague?",11/19/2025
Sabihin mo na mayroon ka rin natanggap sa hatian para maniwala sa inyo kaming mga pilipino. Huwag yong sabihin mo na wala kang natangga,11/19/2025
Pwede po pa retake ng video. Pakiedit po script at proweba. Mali mali po date. Pati po yung sasakyan wag kuhanan sticker para di kita kung kanino nakarehistro. Pati po pala yung tag ng nakasale. Madami po kase nagmamasid.,11/19/2025
"If you are really telling the truth, UMUWI KA SA PILIPINAS AT SABIHIN MO LAHAT NG SINASABI MO UNDER OATH. That will give you integrity. Sa dami mong ninakaw na pera you can afford security kahit libong body guards pa. Isa pa nag ""tell-all"" ka na ano pang kinatatakutan mo?? Kung ipapapatay ka baka maging hero ka pa for being brave enough to face all allegations DITO SA PILIPINAS. Wala kang accountability kung salita ka ng salita pero nagtatago ka sa ibang bansa.",11/19/2025
Mag iingat po kayo kung asan po kayo naroroon kahit Ang Dami nyo kslanan pinoli nyo pdin mging Tama,11/21/2025
tataba ka na ulit nailabas mo bigat sa dibdib mo at utak,11/19/2025
Reveal all bossing para sa inang bayan maka bawi ka sa kapwa mo pilipino lalo na sa mga apektado ng baha.,11/19/2025
Ikaw nalang Yung pag.asa para may makukulong!!...LugmOk na Yung pilipinas...sana mag ingat ka palagi sir..!!,11/19/2025
yan kase wag mag yabang pag nasa pwesto noong kay sara astig mo ngayon sisiw ka na,11/19/2025
"Kaya Pala TINANGGAL ni BBM ang PACC Philippines Anti Corruption Comission na binuo ni DUTERTE, para mag nakaw ng billion",11/21/2025
He’s still guilty.,11/19/2025
Double ingat lang po sir. At Huwag mong hayaan. na ikaw lang ang kanilang ituturo sabihin mo ang nalalaman mo para managot din sila,11/20/2025
Kung sa pakiramdam moy papatayin kanila bakit d mo pa isiwalat ang buong katutuhanan e video mo na rin para recorded ..sabihin muna ang lahat2x kesa ikaw lng ang magdusa sa kulungan edamay muna cla para patas kau ..,11/19/2025
Gusto po namin malinawan na po ang lahat dahil namumuhunan napo kaming mga INC para sa PANAWAGAN na maging bukas ang imbestigasyon at klaro Sana dahil po ramdam namin Yong malasakit Nyo ngayon..kung totoong mailalahad Mona lahat lahat Pati mga mukha nila,11/19/2025
Weightloss reveal man po tabi jan,11/19/2025
Gtaktak nsd bersamin palargahon nasd na hahaa,11/19/2025
tama yan..,11/19/2025
Double time sa mga evidence mo hinahunting kana nila,11/19/2025
Umuwi na po kayo dito para magsama-sama na po kayo bago magpasko sa kulungan.,11/19/2025
Zaldy Co said:,11/19/2025
Alam nilang masama ang kanilang ginagawa pinagpatuloy parin corrupt mga lolong ang kakapal talaga,11/19/2025
Salamat Poh sir. Ngayon di na poh kami magagalit sayo. Dahil sa ini labas mong katotohanan. We will wait for the next revelation sa pagnanakw at sa lahat ng pangyayari especially sa mga AFP alam ko alam mo Yan.,11/19/2025
Tingnan mo Claire kitang kita sa mata ng tao.pawang katotohanan ang sinasalaysay ni zaldy.kita mo namamayat siya dahil tagos sa dibdib yung pagsisisi niya.,11/19/2025
"sabihin mo na lahat. nothing to loose, andyan kana, hindi kana makakawala dyan. kaya sabihin mo na lahat. para sa Bansa at sa mga kawawang Pilipino na pinag nakawan ng kinabukasan. repent! may awa ang Diyos. hindi pa huli ang lahat pag pinag sisihan mo lahat ng kasalanan mo..",11/19/2025
Umuwi ka na po Sir para managot ang dapat managot para mabigyan man lang ng hustisya yung mga fatality dito sa Cebu ng dahil sa baha,11/19/2025
"Gabayan ka nawa ng Diyos,",11/19/2025
Gawen mo po live mas maganda po.,11/19/2025
Umay Kami,11/19/2025
Cong ilabas mo na lahat bago kapa mahuli,11/22/2025
go congressman,11/23/2025
Good job sir ibunyag muna lahat sir,11/19/2025
Sir may nabasa po ako totoo po ba yung maleta daw po ei naka address sa isang congressman sa Davao Region? Nagtatanong lang po fake news po ba yun? post po ng isang blogger,11/19/2025
"alam naman ng taumbayan di mu kaya mag isa gawin yan, billiones buti pa kurapsyon nag uupgrade tumataas, pero yung sahod medical pensiyon ng taumbayan hindi na umasenso kung hundi mo siniwalat ngayon yan panu nlang sa mga susunod na admin trillions na.",11/19/2025
"PBBM, your actions are greatly disappointing. It is troubling to see how public funds, money that ordinary Filipinos worked hard to earn and dutifully pay in taxes, appear to be mishandled by you and your cousin Martin Looter. This lack of accountability deeply affects citizens like us. If you still hold any sense of responsibility toward the nation and its people, I hope you will consider stepping down from your position , please resign maawa ka sa bayan.",11/25/2025
Iingon na giunsa ninyu pgdala c tatay digz sa the hague,11/19/2025
sana may makapag compute mo magkano lahat ng kinita ni zaldy co sa mga trending videos nya. thank you.,11/19/2025
"Ilabas muna Po lahat sir,.",11/19/2025
Cno kaya nagkalulu Kay tatay digs sna kumanta din,11/19/2025
dapat bitay,11/19/2025
Ilabas mo na lahat ng Ebedinsya sir..bago ka pa mahuli nila,11/24/2025
"More valid proof ,like picture actual conversation,or either CCTV camera,",11/19/2025
Laban lng we will protect you.,11/19/2025
Ibunyag mo na ang lahat sir. Yung baho ni bbem at remualdez,11/19/2025
Ganyan tlga pag ang tao e may credibility di maaatim na sumunod sa mali lalabas at lalabas ang totoo dahil labag sa kanya ang pinapagawa sa knya Kaya naniniwala aq sa kanya lalo na kung may banta na sa buhay nya siyempre ang unang iisipin nya ay pamilya Kaya di nya hahayaan na mapahamak ang kanyang mahal sa buhay,11/19/2025
Sana noon ka pa naglantad para sa liwanag na sinasabi mo para sa bayan pero Do it live po para mas kapani paniwala kay Antikler,11/19/2025
labas mga pro BBM malaki bayad sa inyo kaya ipagpatuloy tanggol nyo na.,11/19/2025
"Sana mkunsensya n dn yung iba,maawa NMN kayo sa sambayanang Pilipino",11/19/2025
Never hold back po. Maglive po kayo. Post nyo when,11/19/2025
Kabahan na ang may sala,11/19/2025
Proud of you boss,11/19/2025
Please Protect this person,11/20/2025
Be brave enough to tell the truth and to keep you and your family good name,11/19/2025
Marcos kawatanan!!!!,11/19/2025
"Dae magpalinig kan sadiri, daing matubod saimo.",11/19/2025
"protect him lord, for our country hustisya para sa bayan",11/19/2025
wala kana ippost ?,11/22/2025
Para sa bayan ilaglag muna lahat bai..,11/19/2025
"imposibli ug wa kay bahin,,,,",11/19/2025
Thank u sir... Grabe talaga ang korapsyon,11/19/2025
Good work....,11/19/2025
Meron po palang ganito bakit kailangang iedit nyo pa? Ilabas nyo na po lahat ng inyong nalalaman at ebidensya,11/20/2025
Umuwe ka na dto ....para malamam mo,11/19/2025
ikanta muna lahat sagad muna pati yung pag kidnap kay tatay Digong para malaman ng taong bayan buo ang loob mo sa pakikipag tulungan para lumabas na lahat ang katotohanan sapat na ang ebedensya mo at mga resibo na nilabas mo magdusa ang makasalanan pag bayaran lahat ang kawalangyaan mga buhay pa pero sinusunog na mga kaluluwa,11/19/2025
Zaldy co ilabas mo na lahat ang alam mo habang nabubuhay kapa at mabawasan ang bigat sa dibdib mo . Magbalik loob ka sa Panginoong Jesus at hingi ng patawad.,11/19/2025
Wag kang umuwi sir... Hindi ok a ligtas sa mga buaya,11/19/2025
good job sir,11/19/2025
AI RANA… See more,11/19/2025
Mas Kaylangan po ninyu mag ingat sa ngayun dahil sa pag paka totoo ninyu.,11/19/2025
Shimenit shimenit balik syo!,11/19/2025
. Kawikaan 28:25… See more,11/19/2025
Congresman huwag kang umuwi jn klang sa zoom mo mag salaysay nang mga katotohanan delikado ka dto alam mo naman siguro,11/19/2025
AI RANA,11/19/2025
"Cong saldy baka puede mo rin po ipaliwanag yong operation nyo k vp sara, mula sa dep ed budget na dinagdagan nyo at sa kanyang confidential fund, kasi ikaw ang nagsalita non sa kamara against sa kanya na syang naginf basihan ng mga bobo, lubus lubusin mo na po ang pagbubunyag lahat nga plano at ginawa ng grupo nyo non, para lalong gumaan ang pakiramdam at konsensya mo cong...",11/20/2025
. Kawikaan 28:25,11/19/2025
"Ito yung taong tanga, biruin mo inutusan ka magdala ng daang bilyong pondo pero ni kusing wala kang natanggap? Ako nga nun utusan lang ako sa tindahan dadagdagan ko pa para lang magkapera ako, tapos ikaw isasangkalan mo buhay mo ng walang kapalit? Laughtrip eh.",11/19/2025
"Ilabas nyo na po agad agad lahat po ng EBIDENSYA,BAGO PA PO KAYO MALAGAY SA ALANGANIN DAHIL KAYO LANG DIN PO ANG MAKAKAPAGPATUNAY NG MATINDING NAKAWAN NA NANGYAYARI SA BANSANG PILIPINAS!",11/19/2025
Ilabas nyo na po lahat ng evidences na mayroon kayo maawa na kayo sa ating Bansa masyado nang nakakaawa.,11/19/2025
May full movie pala. Ginawa mo namang netflix per episode,11/19/2025
God Bless you,11/19/2025
Please tell all po sir Cong.,11/19/2025
Mag live po kayo sir dame nilang palusot!,11/19/2025
Galit po ako sa Inyo pero ngayon Lodi n kita,11/19/2025
fb live po gawin nyo! tapos c ante kler pashout out po!,11/19/2025
Saludo po ako sa pagsisiwalat niyo sa katotohanan si ginawa niyo po sir tiyak na ipinagmamalaki kayo ng iyong pamilya sa tapang na ipinakita niyo god bless po.,11/19/2025
Aminin MO.. Na isa Karin sa nagsamantala sa kaban ng bayan.. Wag Kang mag hugas kamay.. Humarap ka.. Sa korti.. Milyon Milyon pilipino ang nag hirap.. At napahamak sa mga sakuna ng dahil sa.. Mga projecto na pinonduhan ng goberno na ninakaw at pinag intirisan ninyong mga politikong gahaman sa pera..,11/19/2025
"Sa ginawa nyo Mr Co ay nabawasan Ang inyong kasalanan pero mananagot ka pa rin sa batas!at higit na mananagot ay c bbm dahil sya ang may kagagawan Ng lahat Ng ito!ilantad mo na rin ung mga Kasama mo sa tuad com gaya Nina Suarez,Acop,Gonzales,Pimentel,Abante, Chua,Valeriano,Adiong,Paduano,Gutierrez, Ridon,Fernandez,remulla brothers,Grace Poe at lahat Ng pumirma sa impeachment ni VP Sarah!",11/19/2025
Nagkagulo na sila Mula ng Mula ng nagsalita kayo cong baak tatkas na sila,11/19/2025
Ang Roots niyan mga Nagsabwatan kayo sa Pera ng Taong Bayan...,11/19/2025
"Lag2x muma lahat sir,",11/19/2025
ZALDY CO ISUNOD MO UNG BADGET SA AFP PARA TAPOS NG ANG PROBLEMA NG BANSA....,11/19/2025
"Kapag ang Isang tao nakakaramdam ng konsensya sa maling ginawa nya ,meaning may diyos ka pa Rin sa buhay..",11/19/2025
Cong bagay sayo. Mg vlog.,11/19/2025
Mag VC ka sa Isang Media Network,11/19/2025
Isiwalat mo na ang lahat bago pa mahuli ang lahat...,11/23/2025
Sagad sagarin mo na lahat ang nalalaman mo angkol lahat ng kabulastugan nila pra kahit papano mabawas bawasan ang galit Ni Lord sayo at sa sambayanang Pilipino,11/19/2025
"Maganda na maimbestigahan si Zaldy Co at panagutin din sa nagawa nya, praying na handa na sya sa pwedeng mangyari sa kanya. Kung eto ang magpapagaan sa konsensya nyo gawin nyo ang magbunyag ng may katotohanan at hindi minamanipula ng kahit sino.",11/19/2025
"hype ka! hinati hati mo p video mo, ilalabas mo rin pla ng buo!",11/19/2025
ala napo b parts,11/19/2025
Alam mo zaldy..pag ilabas mo ang katutuhanan gumagaan ang kalooban mo wala kang katakutan..,11/19/2025
Gumamawa na ang dios nang paraan...god is good all the way,11/19/2025
Wag kang uuwi dito papatayin ka nila tama yan bunyag mo sila,11/19/2025
Dapat live update may questions and answers para realistic,11/19/2025
Pano naging Ai to e may anino,11/19/2025
Para. Madali in Ang pag aresto at walang due process,11/19/2025
Ilabas mo n lahat ng evidence cong.,11/19/2025
"Clear your name, expose the truth- not only it will save yourself but also your family. It will also clear your reputation.",11/19/2025
Mas Claire pa sa spokesperson ang pagka bunyag,11/19/2025
Be strong Cong Z,11/19/2025
Pwede bang ilive mo yan,11/19/2025
Sabi ni ante kler. Ai daw need investigation,11/19/2025
Mabulok yang bunganga mo sinungaling,11/19/2025
MAWAWALA GALIT NAMIN KUNG KAKANTA MO ANG NAG UTOS SAYO KAWAWA MGA NAK MO PUNA IIRAL NIYO MGA GANYAN TRABAHO,11/19/2025
Sir zaldy. Hindi na po kami Galit sayo me hihilingin lang sana kami sayo tutal ng salita kanaman po. Pwde po bang Malaman mg Kano Ang nakuha ng manga congressman sa pag pirma sa impeachment. Ke VP. Sara.,11/20/2025
"kinasuhan ka na....if may hawak ka pang ibang matinding ebidensya, ilabas mo na..papayag ka ba n ikaw lng ang mananagot at hindi madadamay mga amo mo...",11/25/2025
